course_id,title,difficulty,language,totalTime,totalModules,created_at,updated_at
1,Total solution-oriented Graphic Interface,Intermediate,Japanese,379,6,2023-12-29 15:22:34,2024-05-10 07:00:37
2,Enhanced mobile Graphic Interface,Intermediate,Spanish,421,27,2022-10-28 02:22:40,2022-11-28 08:22:36
3,Fundamental radical workforce,Beginner,English,354,13,2023-02-25 19:00:50,2024-04-15 09:23:18
4,Expanded exuding help-desk,Advanced,Hindi,274,30,2023-05-25 23:51:59,2024-06-21 00:47:58
5,Object-based global strategy,Advanced,German,193,29,2023-09-04 00:25:38,2024-08-06 13:39:55
6,Fundamental systemic extranet,Intermediate,Tamil,345,15,2023-07-06 20:16:35,2023-08-05 19:44:37
7,Focused optimal secured line,Beginner,German,455,24,2024-05-02 11:47:55,2024-07-06 14:36:40
8,Reactive web-enabled time-frame,Beginner,Hindi,292,26,2024-06-17 10:05:46,2024-09-05 12:14:49
9,Seamless foreground policy,Advanced,Tamil,188,30,2024-09-05 19:57:02,2024-09-27 22:54:07
10,Reduced motivating Internet solution,Intermediate,French,397,27,2023-01-14 16:35:30,2024-09-26 07:24:13
11,Multi-lateral even-keeled pricing structure,Intermediate,Tamil,158,10,2024-06-18 07:52:03,2024-07-04 12:54:38
12,Enterprise-wide neutral database,Intermediate,French,332,28,2024-07-14 07:48:20,2024-09-07 20:52:48
13,Managed grid-enabled implementation,Advanced,French,462,27,2022-10-17 01:44:59,2023-03-29 06:21:29
14,Synchronized dedicated parallelism,Intermediate,German,129,5,2024-02-12 13:47:19,2024-02-15 21:01:49
15,Adaptive mission-critical definition,Beginner,English,224,16,2022-10-25 22:59:28,2023-04-06 17:30:51
16,Centralized optimizing matrices,Advanced,German,40,17,2024-05-02 09:36:07,2024-07-27 07:42:51
17,Persistent reciprocal Graphic Interface,Intermediate,English,358,14,2022-12-25 08:22:15,2024-09-01 11:46:22
18,Expanded analyzing help-desk,Intermediate,German,169,30,2023-08-04 13:54:26,2024-06-29 21:03:24
19,Multi-channeled scalable product,Advanced,German,248,26,2023-10-17 17:46:27,2024-09-04 08:30:03
20,Public-key asynchronous time-frame,Intermediate,Hindi,475,29,2024-03-21 15:03:03,2024-06-27 07:48:41
21,Open-architected background emulation,Intermediate,Tamil,160,12,2023-12-27 05:53:44,2024-02-21 10:08:46
22,Synergized discrete encoding,Advanced,German,216,9,2024-06-05 16:28:37,2024-06-06 19:25:20
